"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090066","regulation of anatomical structure size","108/2491","498/16800",0.216867469879518,1.46261481090964,4.37257932366699,2.04070067116503e-05,0.00071102958536532,0.000595871577156131,"CD38/SCIN/TENM1/SEMA3G/WAS/ATP1A2/CASR/ADRB1/LIMA1/NTN1/ABCC9/ATP2B1/CDHR2/ADD2/PAK3/MAP2/SCTR/ARHGAP28/NOS1/CDHR5/CAV1/CXCL12/ACTA2/P2RX1/RND2/NHERF1/CRACD/KNG1/KAT2B/TACR1/TNR/RGS2/ECE1/PLS1/PTK2B/ADRA1A/NCKAP1L/EDN3/CCR7/EDN2/TMOD2/FGF13/KCNA5/TRPM4/OLFM1/MAP1B/KANK4/SPART/EPHA7/VILL/EDNRB/TMOD1/CCL21/SEMA6D/AGTR1/SLIT2/KCNMB1/DAAM2/GSN/HTR7/ADRA2A/KCNMA1/SPTBN4/NPPC/LMOD1/GUCY1A1/F2RL1/GPER1/SVEP1/CFL2/VSTM4/ARHGAP42/PEX11A/RILP/BDKRB2/SCNN1B/ADRB2/NPR1/DRD5/P2RY1/ADRA1B/AQP4/CCL11/WASHC2C/CYSLTR1/LEP/P2RY2/AQP11/HCLS1/AGTR2/RGMA/SLC8A1/CNTN2/EFNA5/PRKG1/MAPT/ADRB3/LRRK2/UTS2B/KANK2/SVIL/KCNMB2/CYRIA/AVPR1B/L1CAM/AQP1/HBB/NEFL",108
"GO:0070372","regulation of ERK1 and ERK2 cascade","67/2491","276/16800",0.242753623188406,1.63719826156773,4.45343858045423,2.12036505999126e-05,0.000734336068065648,0.00061540335317565,"CD4/IGF1/CASR/ROS1/LMO3/FGFR2/FGF10/RPS6KA6/PDE8A/FERMT2/FBLN1/CEACAM1/SEMA6A/MAPK3/NDRG4/NECAB2/ACTA2/NHERF1/GCNT2/OPRM1/GCG/RAP1A/SLAMF1/TEK/PTK2B/ADRA1A/GLIPR2/BMP2/CCR7/PLA2G5/AKAP12/SSTR4/DUSP26/PDGFRA/CD36/EPHA7/GPR55/CCL21/ARRB1/FGF2/ADCYAP1/TNFRSF11A/PTPRR/ANGPT1/TIAM1/NRG1/SCIMP/HAND2/NPY5R/F2RL1/GPER1/NDRG2/P2RY1/PDGFD/CCL19/ERBB4/NRXN1/ADIPOQ/CSF1R/TNFAIP8L3/FFAR4/PLA2G2A/ALKAL2/SLC30A10/MIR27B/ITGB3/MIR145",67
"GO:0035249","synaptic transmission, glutamatergic","33/2491","108/16800",0.305555555555556,2.06075204067978,4.61419030809862,2.40618761599622e-05,0.000828333688883969,0.000694177164728314,"ABCC8/ATP1A2/CACNG5/MEF2C/SLC17A7/CACNG7/GRIK5/P2RX1/NR3C1/TNR/CNR1/GRIA2/PTK2B/TSHZ3/CCR2/GRIA3/UNC13C/GRIA4/GRIA1/GRIK3/GRIK2/ROR2/NLGN1/GRIK1/SLC17A8/NRXN1/GRIN2A/PRKN/LRRK2/RELN/NLGN3/GRIN3A/FRRS1L",33
"GO:0006959","humoral immune response","66/2491","272/16800",0.242647058823529,1.6364795617163,4.41552857147718,2.47063355793536e-05,0.000845456685986332,0.000708526929490611,"CFH/LTF/POU2F2/C6/MEF2C/FCN1/CTSG/FCER2/EBI3/RARRES2/CXCL12/CCL8/BST1/POU2AF1/C7/KNG1/CR2/COLEC11/CLU/CCR2/NPY/CCR7/CFP/MASP1/LGALS3/JCHAIN/SPINK5/CCL21/XCL1/XCL2/TSLP/VIP/CCL28/VSIG4/CXCL13/MS4A1/C1QC/FCN2/FCMR/CAMP/LEAP2/DEFB1/SVEP1/B2M/KRT1/LGALS4/BCL2/CCL11/CCL19/C1QB/C1QA/A2M/CCL13/ELANE/CFD/CR1/IGHA2/IGHE/IGHA1/IGHM/IGKV3-20/CCL5/CCL23/CCL16/CCL15/CCL14",66
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","13/2491","26/16800",0.5,3.37213970293055,5.05047881884229,2.51982188248255e-05,0.000855324234237233,0.00071679633439295,"ATP1A2/NOS1/SLC9A1/CASQ2/FKBP1B/HRC/ANK2/CACNA1C/CLIC2/SLC8A1/PLN/DMD/GSTM2",13
"GO:0019933","cAMP-mediated signaling","21/2491","56/16800",0.375,2.52910477719791,4.78217635656298,2.52922455766793e-05,0.000855324234237233,0.00071679633439295,"PDE8A/ADCY2/ADCYAP1R1/RASD2/OPRM1/CAP2/PDE4D/PDE1A/PDE1B/GNAI1/PDE6A/PDE6B/PDE5A/ADCYAP1/EPHA5/PDE1C/PDE9A/PDE7B/PDE3A/PDE2A/LPAR1",21
"GO:0086009","membrane repolarization","20/2491","52/16800",0.384615384615385,2.59395361763888,4.8030799128465,2.54915385820447e-05,0.000857022545661843,0.000718219588119537,"ATP1A2/NEDD4L/NOS1/SCN1B/CAV1/KCNA1/AKAP7/CASQ2/AKAP9/ATP1B2/KCNA5/SLC24A4/ANK2/SCN2B/AKAP6/CACNA2D1/KCND3/SCN4B/KCNIP1/FLNA",20
"GO:0006066","alcohol metabolic process","80/2491","348/16800",0.229885057471264,1.55040905881864,4.32902188724589,2.94603142777223e-05,0.00096969747365348,0.000812645739197111,"NR1H4/IGF1/HSD17B6/RETSAT/LIMA1/PLPP1/DHRS9/FGFR1/ADCYAP1R1/ACO2/NTSR1/GDPD3/AQP8/CYP2C18/LPCAT3/PPARD/BMP5/CLCN2/ACADL/SCP2/LEPR/DHDDS/EPHX2/LRAT/CD244/NUDT10/PCK1/BMP2/GNAI1/ACSS2/FMO5/IMPA1/HMGCS2/RDH5/CYP27A1/EDNRB/ITPKA/CYP2C8/PRKG2/NAAA/CYP11A1/OSBPL1A/SNCA/VLDLR/AKR1C2/BMP6/ABCA5/PTH1R/CYP3A4/IP6K3/PLPP3/PRKAA2/GPER1/ALDH1A1/LIPC/SMPD1/MOGAT2/ACAA2/SCNN1B/P2RY1/SPTLC3/ADH6/SULT1B1/LEP/HSD11B2/APOBR/INPP5J/PRKG1/ADH1A/AKR1C3/NUDT11/SULT1A1/CACNA1H/ADH1B/SULT1A2/PLCG2/AVPR1B/AKR1B10/AKR1B15/ADH1C",80
"GO:0002688","regulation of leukocyte chemotaxis","36/2491","123/16800",0.292682926829268,1.97393543586179,4.52321983811163,2.97880838228711e-05,0.00096969747365348,0.000812645739197111,"STAP1/MAPK3/PTN/RARRES2/CXCL12/BST1/NEDD9/RIPOR2/THBS4/SLAMF1/PADI2/DUSP1/PTK2B/CCR2/NCKAP1L/EDN3/CCR7/EDN2/CCL21/MSTN/XCL1/SLIT2/CXCL13/IL6R/F2RL1/VEGFD/JAM3/CX3CR1/CCL19/CMKLR1/CSF1R/CAMK1D/CSF1/AIF1/MMP28/CCL5",36
"GO:0014902","myotube differentiation","36/2491","123/16800",0.292682926829268,1.97393543586179,4.52321983811163,2.97880838228711e-05,0.00096969747365348,0.000812645739197111,"CYP26B1/IGF1/PLEKHO1/EHD2/BARX2/HDAC9/CDON/NEO1/MEF2C/NOS1/DMPK/CNTNAP1/RIPOR2/RBM24/SMYD1/BHLHE41/WNT1/LARGE1/DOCK2/ADGRB3/MYOCD/KCNH1/JAM2/RCAN1/PLPP7/CAPN2/MYORG/B4GALNT2/BCL2/BHLHA15/ADGRB1/TBX1/P2RX2/DNER/RYR1/CACNA1H",36
"GO:0001990","regulation of systemic arterial blood pressure by hormone","16/2491","37/16800",0.432432432432432,2.91644514848048,4.86906217336288,2.98248712891637e-05,0.00096969747365348,0.000812645739197111,"CMA1/PCSK5/CTSG/TACR1/ECE1/EDN3/EDN2/EDNRB/AGTR1/CPA3/F2RL1/OR51E2/DRD5/HSD11B2/AGTR2/AVPR1B",16
"GO:0019228","neuronal action potential","16/2491","37/16800",0.432432432432432,2.91644514848048,4.86906217336288,2.98248712891637e-05,0.00096969747365348,0.000812645739197111,"KCNK2/P2RX1/KCNA1/CHRNB4/P2RX4/CHRNA1/ANK3/GRIA1/GRIK2/GPER1/SCN11A/SCN9A/SCN4B/KCNA2/GPR88/KCNMB2",16
"GO:1904427","positive regulation of calcium ion transmembrane transport","27/2491","82/16800",0.329268292682927,2.22067736534451,4.62316713715569,2.99074855318677e-05,0.00096969747365348,0.000812645739197111,"SRI/ADCYAP1R1/SLC9A1/BDKRB1/NTSR1/CAV1/P2RX1/PLP1/HSPA2/P2RX4/STAC2/XCL1/CASQ1/STAC/SNCA/ANK2/JPH2/AKAP6/MS4A1/GPER1/CACNB2/STIM1/CD19/AKAP5/TRDN/P2RX2/GSTM2",27
"GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation","12/2491","23/16800",0.521739130434783,3.51875447262318,5.04332014237415,3.00236824335223e-05,0.00096969747365348,0.000812645739197111,"MEF2C/GNA13/CDKN1A/CNN1/IL10/TPM1/MYOCD/PDCD4/GPER1/NDRG2/ADIPOQ/PRKG1",12
"GO:0045055","regulated exocytosis","57/2491","227/16800",0.251101321585903,1.69349747195631,4.38915767538014,3.07008583863983e-05,0.000986029245046948,0.000826332424784152,"SCIN/BTK/RAB27A/CEACAM1/RPH3A/SYNGR1/CHGA/RIMS4/SYP/GATA1/FOXF1/GRIK5/PIK3CG/P2RX1/SYT10/RAP1A/RIMS3/CD160/NR4A3/CCR2/NCKAP1L/TPH1/SYT5/SNAP25/SYT11/SYT4/SYT6/UNC13C/SNCA/CRHBP/ADRA2A/SYN2/KIT/TSPAN18/KCNB1/F2RL1/SLC18A2/PRKCB/PTGDR/SCN11A/NLGN1/P2RY1/SYT9/CDK5R2/FCER1A/MRGPRX2/SV2B/P2RY4/GPR15LG/LRRK2/SCAMP5/SYT15/CD177/IGHE/VAMP2/RAB44/KLRF2",57
